,User,Name,Chain,Value
57,0x11f296bC20d4D074287587248CCe90e27d775444,Aave V3,ftm,0.020086790405669505
58,0x11f296bC20d4D074287587248CCe90e27d775444,Alpaca Finance,ftm,56.463933492695446
59,0x11f296bC20d4D074287587248CCe90e27d775444,Beefy,ftm,41.14361988711971
60,0x11f296bC20d4D074287587248CCe90e27d775444,Fantom fWallet,ftm,0.6368954107793643
61,0x11f296bC20d4D074287587248CCe90e27d775444,LIDO,eth,856.9380198254954
62,0x11f296bC20d4D074287587248CCe90e27d775444,Aave,matic,1.4904699935799557
63,0x11f296bC20d4D074287587248CCe90e27d775444,Aave V3,matic,3580.2313922614976
64,0x11f296bC20d4D074287587248CCe90e27d775444,Atlendis,matic,0.24230421595360638
65,0x11f296bC20d4D074287587248CCe90e27d775444,Balancer V2,matic,0.266493858402721
66,0x11f296bC20d4D074287587248CCe90e27d775444,Beefy,matic,1.1216839157620204
67,0x11f296bC20d4D074287587248CCe90e27d775444,CIAN,matic,5.876625
68,0x11f296bC20d4D074287587248CCe90e27d775444,Curve,matic,0.11557676847308307
69,0x11f296bC20d4D074287587248CCe90e27d775444,Klima DAO ,matic,0.1092685088700544
70,0x11f296bC20d4D074287587248CCe90e27d775444,PoolTogether,matic,1.9982
71,0x11f296bC20d4D074287587248CCe90e27d775444,Toucan,matic,0.022519940829447974
72,0x11f296bC20d4D074287587248CCe90e27d775444,Uniswap V3,matic,1.2443732094664781
73,0x11f296bC20d4D074287587248CCe90e27d775444,SushiSwap,nova,2.596125915369309
74,0x11f296bC20d4D074287587248CCe90e27d775444,Aave V3,op,1.0347554269359833
75,0x11f296bC20d4D074287587248CCe90e27d775444,Beefy,op,1651.3298160324946
76,0x11f296bC20d4D074287587248CCe90e27d775444,Curve,op,1.1347977149733417
77,0x11f296bC20d4D074287587248CCe90e27d775444,Mean Finance,op,1.7490104358334837
78,0x11f296bC20d4D074287587248CCe90e27d775444,PoolTogether,op,4.09631
79,0x11f296bC20d4D074287587248CCe90e27d775444,Stargate,op,4.336546797102423
80,0x11f296bC20d4D074287587248CCe90e27d775444,Uniswap V3,op,1.6990960440307794
81,0x11f296bC20d4D074287587248CCe90e27d775444,WOO Network,op,2.790699730833055
82,0x84E3a6690Ade5A6475FeF9829A5F7561b38040e5,SyncSwap,era,11.952788971314682
83,0x4DCE10991B870D101aF1DBA6e7d79F49fbD8a2cB,Wonderland,avax,991.363149628276
84,0xa0e82A2F767575B0f52C07731D381a496f10C10d,SpaceFi,era,9.708960437029976
85,0xa0e82A2F767575B0f52C07731D381a496f10C10d,Velocore,era,809.6029290502804
86,0xF1f3baDb0971719cd37E991cE99884C01De934dF,SyncSwap,era,1.0270171040152523
87,0xF1f3baDb0971719cd37E991cE99884C01De934dF,Nested,matic,0.009925367388767278
88,0xF1f3baDb0971719cd37E991cE99884C01De934dF,Kaco,sdn,1.6677202939163138e-05
89,0xC8b133C2De23e47D412EFb30e3068F8dA4E25688,Camelot,arb,0.19155650716463066
90,0xC8b133C2De23e47D412EFb30e3068F8dA4E25688,GemSwap,era,109.61566252670666
91,0xC8b133C2De23e47D412EFb30e3068F8dA4E25688,SpaceFi,era,103.48265112030657
